,uuid,user_name,text_clean,mentions_name
131288,1034979788915486780, MegaHarald ,im not a mobility scooter american,['clipperfrog']
131289,1034979819022209184, Rainman ,I support the GOOG LGHDTV,['clipperfrog']
131290,1034979854166265946, MegaHarald ,cancelled,['  Rainman  ']
131291,1034979923066093568, clipperfrog ,i get 600 every 4 weeks for being schitzoaffective,['MegaHarald']
131292,1034979964044460062, clipperfrog ,well it s WSB,['Chet']
131293,1034979981102694430, MegaHarald ,i get more for being agoraphobic,['clipperfrog']
131294,1034980050304507924, Rainman ,schizo affective,['clipperfrog']
131295,1034980054976974988, Rainman ,haha,
131296,1034980109964279898, MegaHarald ,why you delete,
131297,1034980121754472498, clipperfrog ,yeha like i can help it,['  Rainman  ']
131298,1034980165845008544, clipperfrog ,stfu american,['Chet']
131299,1034980231745904722, MegaHarald ,cringemerican,['clipperfrog']
131300,1034980271025557554, Rainman ,mmmmm,['clipperfrog']
131301,1034980300704464918, clipperfrog ,bruh,['MegaHarald']
131302,1034980304915546192, Rainman ,disrespect americans 1,
131303,1034980339015233596, Rainman ,respect,
131304,1034980406350585866, MegaHarald ,who are you bruhing,['clipperfrog']
131305,1034980418358882384, clipperfrog ,your president has to read notes from instrucctions bud,['  Rainman  ']
131306,1034980425770225734, chromeowl ,why do we have mass shootings and not mass orgies send tweet,
131307,1034980450868932638, MegaHarald ,all the americans are working at mcdonalds theyre not here yet,
131308,1034980478131912744, clipperfrog ,bruhh,['MegaHarald']
131309,1034980511468228618, clipperfrog ,where u,['Chet']
131310,1034980532351684699, MegaHarald ,they did have that in cologne,['chromeowl']
131311,1034980558360555611, MegaHarald ,like 10 years ago,
131312,1034980568766611537, Rainman ,they can barely do that job right but can vote ,['MegaHarald']
131313,1034980573141282837, MegaHarald ,same shit dude,['Chet']
131314,1034980606330818610, chromeowl , hmmnote ,['MegaHarald']
131315,1034980612282536016, clipperfrog ,go suck linustechtips s tip,['Chet']
131316,1034980653290237962, MegaHarald ,you think you re different lmfao,['Chet']
131317,1034980688916664361, MegaHarald ,its like the difference between bavaria and austria,
131318,1034980729358127104, clipperfrog ,dum,['Chet']
131319,1034980750992351293, Rainman , clipperfrog I was door dashin and it took like 1hr to get food from mcdonalds,['clipperfrog']
131320,1034980771481538621, Rainman ,they cant even do that job,
131321,1034980777114484787, chromeowl ,time to take trip to Koln,
131322,1034980853576650782, clipperfrog ,oh so you re poor frfr,['  Rainman  ']
131323,1034980886682292304, Canucknucklehead ,BOOBA,
131324,1034980896824102982, Rainman ,nahh I do it when im bored,['clipperfrog']
131325,1034980912292696064, MegaHarald ,who cares ur culture is the same no you dont we dont have a king in my country,['Chet']
131326,1034980954751631401, Rainman ,I day trade clipperfrog,['clipperfrog']
131327,1034980962683060344, clipperfrog ,bored need money to eat food,['  Rainman  ']
131328,1034981022531592292, Rainman ,gotta engage with the public sometimes,['clipperfrog']
131329,1034981045356998686, Canucknucklehead ,Do you ever wonder,
131330,1034981076675866624, Canucknucklehead ,What happens in the WSB vip channel,
131331,1034981087480389723, Canucknucklehead ,I do,
