,uuid,user_name,text_clean,mentions_name
295652,1045851400086761543, RighteousandWrath22 ,,
295653,1045851457448050818, NickJ ,See my friend s is 150 proof but the scary part is that you can barely taste it,['BOOnewyears  ']
295654,1045851536061911181, NickJ ,So you can end up on the floor real quick,
295655,1045851550649688154, xLucifer ,,
295656,1045852078792265758, vDew ,Anyone know how to do the warnings command,
295657,1045852193774895165, vDew ,Like to see how many warnings a person has,
295658,1045852314138841238, vDew ,Why doesn t it work,
295659,1045852385580437607, BOOnewyears ,yeah I wouldn t like that im not a big drinker so I d probably just die,['NickJ']
295660,1045852403171332157, vDew ,Thanks,
295661,1045852419172610058, vDew ,Guess I have to unblock him,
295662,1045852469617508362, BOOnewyears ,also why is chicken washing such a meme the last few months,
295663,1045852576450629672, wildboarz ,people can t afford KFC buckets anymore,
295664,1045852604611170385, wildboarz ,gotta wash their own,
295665,1045852606892875846, vDew ,Shoulda seen the idiots cooking chicken with NyQuil,
295666,1045852886640369715, wildboarz ,NyQuil is great,
295667,1045852957507330128, wildboarz ,all you need is your trusty little green bottle and a pillow next thing you know it s February,
295668,1045853420172619886, vDew ,If you ever fly first class on a plane half the white women there take a Xanax and go to sleep,
295669,1045853455614496819, RighteousandWrath22 ,,
295670,1045853927423348746, BakingDream ,While the other half are way too aggressive with the flight attendants,['vDew']
295671,1045854026178244618, vDew ,Half of them are Karen s and half of them are Britney s,['BakingDream']
295672,1045854369729482775, dizzy ,I wish. not sure why we don t hibernate anymore. seems like a great idea.,['wildboarz']
295673,1045855142634848298, 1THC ,US based airlines have terrible flight attendants,
295674,1045855226235732029, Supergirl ,First class just doesn t hit the same anymore,
295675,1045855251485438063, 1THC ,Fly private,
295676,1045855315624730675, CAPT T. FRAUD ,Beeer,
295677,1045855324411805696, Supergirl ,Most flights it s just like 70 extra bucks for the seat,
295678,1045855519832817725, Supergirl ,If I m paying that much money I want the obnoxious curtain that separates you,
295679,1045855825077485608, 1THC ,Emirates first class is the best in the world,
295680,1045855920762130492, CAPT T. FRAUD ,Beer if,
295681,1045856034046103555, Supergirl ,They give you a whole pod,
295682,1045856067994791946, CAPT T. FRAUD ,Beer,['Supergirl ']
295683,1045856223293087866, Supergirl ,Being anxious sounds terrible,
295684,1045856313881669682, Supergirl ,I m grateful I was not born with that gene,
295685,1045856438226010132, 1THC , TriKool ,
295686,1045856530534248498, iiconic. ,United Polaris is a fucking joke,
295687,1045856563535028234, iiconic. ,even long haul international,
295688,1045856618505568387, 1THC ,Fuck United,
295689,1045856771253731359, Supergirl ,Why don t we have world cup roles yet,
295690,1045856813351964692, Supergirl ,I want Argentina to win,
295691,1045856876191031406, Supergirl , ,
295692,1045857030990217266, 1THC ,Messi got paid to throw by the Saudis,
295693,1045857087445549147, Supergirl ,Nah,
295694,1045857133570314320, Supergirl ,No money in the world would get him to throw his last world cup,
295695,1045857349606322186, uatemycookie ,my do women always want to have sex with me god damn,
295696,1045857493013778492, uatemycookie ,WHO FUCKING HONKED,
295697,1045857536244453496, 1THC , CLOSETHESHORT ,
295698,1045857575641563196, 1THC ,BEEP BEEP MOTHERFUCKR,
295699,1045857808739999794, Supergirl ,Made my own world cup role,
295700,1045857953539969075, 1THC ,,
295701,1045858158519783475, Swolsby , catsmirk ,
295702,1045859266386477117, NickJ ,,
295703,1045859328428605440, Thatskindawild ,Every Friday night I feel like I should be in a bigger city.,
295704,1045859350863937596, Thatskindawild ,But it would be just as boring,
295705,1045859527054069821, dizzy ,how big is the city you are currently in ,['Thatskindawild']
295706,1045860415617372170, ScottieRippen ,can you guys tell me if my c ck looks good in these jeans ,
295707,1045860474790608986, ScottieRippen ,,
295708,1045861033241215027, Yellow Monkie Man ,Looks pretty good tbh ,
295709,1045861786311725126, Doubleup ,It chicken,
295710,1045862005715775588, Doubleup , ,
295711,1045862042936017006, Doubleup ,Here have the official paper on it.,
295712,1045862072086429717, Doubleup ,I did all the DD just for you.,
295713,1045862466699133018, NickJ ,,
295714,1045862715668844574, Doubleup ,Holy ,
295715,1045863068313342002, Hmmy ,,
295716,1045863589203943454, Doubleup ,Is there a limit to how many cheeseburgers a man can eat per day ,
295717,1045863620426338364, Doubleup ,I feel like there is.,
295718,1045863761304629369, BOOnewyears ,well,
295719,1045863798612971540, BOOnewyears ,there s a limit you probably should stick to,
295720,1045863825716555776, BOOnewyears ,but this is America baby,
295721,1045864297860960276, 6soup ,Set your own record gigachad ,['Doubleup']
295722,1045865634342391861, bubu ,You seen the united stock recently I sold all my longs on 2nd day. It keeps going,['1THC']
295723,1045865645608280155, Fuckboy ,Correct You got 185504 WSBux ,
295724,1045865662649729155, PickleRick ,4,
295725,1045865662834290801, Fuckboy ,,
295726,1045865664138707064, Fuckboy ,,
295727,1045865717410578432, Thatskindawild ,,
295728,1045865801049190480, Thatskindawild ,Type my response for me,
295729,1045866002140889128, Swolsby , catsmirk ,
295730,1045866072961732681, Fuckboy ,PickleRick s balance is 100 202 WSBux,
295731,1045866105828290602, PickleRick ,Hmm thought I had that,
295732,1045866229845471342, Fuckboy ,PickleRick s balance is 100 202 WSBux,
295733,1045866316122300416, I go by soundcloud ,,
295734,1045866333004365895, bubu ,Serious or funny ,['Thatskindawild']
295735,1045866492090126377, Thatskindawild , YEP ,
295736,1045866589058248796, I go by soundcloud ,Don t respond,['Thatskindawild']
295737,1045866737532416140, I go by soundcloud ,She talm bout she preoccupied and shit instead of putting shit in motion,
295738,1045866774660399126, Thatskindawild ,...,
295739,1045866913668022333, Fuckboy ,Swolsby s balance is 0 WSBux,
295740,1045867376471715860, bubu ,Serious No problem. If you wanna take your mind of work I ll get you a coffee or food for an hour or so. I can t be funny enough at the moment,['Thatskindawild']
295741,1045867401151004804, Skrt ,Your name is Gilbert ,['Chet']
