,uuid,user_name,text_clean,mentions_name
228791,1040777954625589268, .Weissest ,What building is that lol,
228792,1040777975492255744, james2 ,Is that a trick question,
228793,1040778162126192710, uatemycookie ,dude,['AyyLamo']
228794,1040778177582202970, uatemycookie ,this is wallstreetbets,
228795,1040778224495493210, uatemycookie ,You came to the perfect place to ask this question,
228796,1040778265176047687, james2 ,Eat my cookie,
228797,1040778275552764005, mushu , you heard him,
228798,1040778297488969778, mushu , LOL ,
228799,1040778381677051944, james2 ,Buy. Buy. Buy. Buy.,
228800,1040778667883765890, Swolsby , catsmirk ,
228801,1040778747562950687, james2 , ,
228802,1040778776805646407, james2 ,Love ya all,
228803,1040778825790935130, s76.Petunia , ,['james2   ']
228804,1040778955373940806, mushu ,You too james HYPERSL ,['james2   ']
228805,1040779056351813723, Cullen ,Ftx arena,['.Weissest']
228806,1040779079189799002, mushu ,You too Merio HYPERSL ,['s76.Petunia']
228807,1040779138979598417, s76.Petunia ,Thank you cozypepe ,['mushu']
228808,1040779374800162836, mushu ,A good problem to have,['SnoopDOGGE']
228809,1040779383562063903, Gott ,I hate shoe laces,
228810,1040779512973119539, mushu ,Tuck them under the criss cross laces to keep them from untying,['Gott']
228811,1040779735342518292, wafflesource ,,
228812,1040779758155346070, Gott ,W this model There are no holes inside the shoe the loops are outside on plastic things,['mushu']
228813,1040779853756104714, Gott ,Thats a good idea though,
228814,1040779960136237126, Pusherman ,,
228815,1040780032471212152, ScottieRippen ,hi guys,
228816,1040780066709307413, Pusherman ,,
228817,1040780289489776760, Pusherman ,,['leash']
228818,1040780301225427034, mik ,there are many forms of suicide,
228819,1040780375808561242, Amanda ,Get chelsea boots instead,['Gott']
228820,1040780567219798167, Amanda , prayge ,['Pusherman']
228821,1040780582604521522, T L4G1RL ,Cullen It s been forever,['Cullen']
228822,1040780662803796028, T L4G1RL , pepehi ,
228823,1040781055248044212, Pusherman ,6 12,
228824,1040781066476212395, Pusherman , sadKEK ,
228825,1040781079063306302, Khoury 2Ss Blown Port ,4 12,
228826,1040781096935235705, T L4G1RL ,Get some lidocaine it s not that difficult to have an experiential moment of learning,['AyyLamo']
228827,1040781144347660389, Pusherman ,,
228828,1040781508484530247, Fuckboy , You have just given hate2doit a reputation point ,['hate2doit']
228829,1040781528143237140, T L4G1RL , peepoheart ,
228830,1040781582572736574, Amanda ,Is this pyth ,['AyyLamo']
228831,1040781592714547250, Fuckboy , You have just given T L4G1RL a reputation point ,['  T  L4G1RL  ']
228832,1040781600662757437, Swolsby , ,
228833,1040781633319616623, T L4G1RL , peepoinlove ,
228834,1040781680413253717, Amanda ,Hi T L4G1RL ,['  T  L4G1RL  ']
228835,1040781853369585674, T L4G1RL ,Hi Amanda cozypepe ,
228836,1040781905328611358, T L4G1RL ,Hope you enjoy your weekend,
228837,1040781935338860554, Amanda ,You too ,
228838,1040782108538445824, T L4G1RL ,I have been on my weekend since last Saturday,
228839,1040782195649941535, T L4G1RL ,I have to work tomorrow though,
228840,1040782198002946160, Amanda ,Ohh nice Vacation ,
228841,1040782257100693524, T L4G1RL ,And then another 3 days off after that,
228842,1040782457882030110, T L4G1RL ,Nah I just took two days off from my scheduled work days to recover from booster shot on top of my four day weekend,
228843,1040783158154645665, T L4G1RL ,4 20,
228844,1040783164529987685, Amanda ,How are you feeling ,
228845,1040783403794042940, T L4G1RL ,Still bad. Migraine cramps fatigue and chills.,
228846,1040783516213973012, T L4G1RL ,This is day 3.,
228847,1040783609839231016, Amanda ,Oh yikes ,
228848,1040783723425181697, Amanda ,I did the flu shot and booster together. Sucked for about 48 hrs and then back to normal.,
228849,1040783753741598790, T L4G1RL ,Hopefully I get normal soon I m just so tired of shivering under my favorite down blankets,
228850,1040783766341287976, Amanda ,Hope you feel better soon prayge ,
228851,1040783847178113024, Amanda ,Did you take anything Tylenol helped a lot.,
228852,1040783903474061433, T L4G1RL ,I haven t been,
228853,1040783931596865607, Amanda ,Take some,
228854,1040783932330876928, Fuckboy ,Too slow ,
228855,1040783936621654097, T L4G1RL ,Maybe I should try,
228856,1040783986559029328, T L4G1RL , pepenotes HYPERSL ,
228857,1040784090376437810, MojitoMorales Parking Lot Papi ,Black Mirror White Mirror,
228858,1040784111347974174, Amanda ,You can rotate Tylenol and motrin,
228859,1040784151105785906, ChickenRamen ,working in the music industry is one of em,['mik']
