,uuid,user_name,text_clean,mentions_name
510603,1058172680257413120, J ,Get beamed by Andrew Tate ,
510604,1058172886696865822, TM17 ,And his brother,['Pusherman']
510605,1058172961309335572, Swolsby ,Ayo andrew tate is flexible shit,
510606,1058172973506375692, Fuckboy ,Wordcloud for Official r wallstreetbets main justliz using the last 10000 messages.,
510607,1058173029651337236, Gene , ,
510608,1058173096361726054, Fuckboy ,Wordcloud for Official r wallstreetbets main Swolsby using the last 10000 messages.,
510609,1058173197100531773, Fuckboy ,,
510610,1058173198262354012, Fuckboy ,Your fortune is ,
510611,1058173200682467378, Fuckboy ,Lucky numbers Lotto 16 19 27 97 04 13 Daily numbers Pick3 821,
510612,1058173226003472415, Fuckboy ,Wordcloud for Official r wallstreetbets main using the last 10000 messages.,
510613,1058173378080538674, Gene ,turns out arguing on twitter can get you arrested,
510614,1058173390231457884, 1THC ,,['elrizzabeth']
510615,1058173861352456202, 1THC , Floyd ,
510616,1058173896869810297, elrizzabeth ,looks amazing,['1THC']
510617,1058173954075922553, J ,U would fucking thino Tate would order a dominos wtf is a Jerry s pizza,
510618,1058174043779502100, ThickGary Dell Abate G.E.D. ,jerrys is east coast,
510619,1058174067863212102, 1THC ,Do they have Dominos in Romania,['J ']
510620,1058174281755922633, J ,I would assume so,
510621,1058174452459913226, n. , WOT WOT weirdkekw WOT WOT WOT weirdkekw WOT weirdkekw WOT WOT legs lick chad WOT WOT weirdkekw WOT weirdkekw WOT WOT WOT weirdkekw WOT WOT ,
510622,1058174926995071038, ,,
510623,1058175422191374387, ,No,['1THC']
510624,1058175555494752297, ,They don t have dominoes in south Europe,
510625,1058175709555732542, ThickGary Dell Abate G.E.D. ,i would fuck that up,
510626,1058175724072206456, ThickGary Dell Abate G.E.D. ,then hate myself after,
510627,1058175817663914075, ThickGary Dell Abate G.E.D. ,who doesnt love a one way trip to carb city,
510628,1058176163148742676, frozety withdraw ,How about pizza hut,['       ']
510629,1058176292182306946, elrizzabeth ,This looks good too,['coolbeans']
510630,1058176587192864779, Fuel the fire ,,
510631,1058176907331506176, elrizzabeth ,Hey prince,['Fuel the fire']
510632,1058176934409932830, elrizzabeth , ,
510633,1058177415253344286, kamil ,he flexible alright,['Swolsby']
510634,1058177812692992021, J ,Send to his wife,['towelie']
510635,1058177846469742612, J ,Omega lol ,
510636,1058177963708919858, 1THC ,Please don t tell my wife,['towelie']
510637,1058178050249990145, J ,Ok,['towelie']
510638,1058178123855831060, J ,Well tell me how that goes then,
510639,1058178194563403886, ScottieRippen ,moms today are dads,['coolbeans']
510640,1058178241183109250, Pusherman ,you can recognize a dick ,['towelie']
510641,1058178441293344839, ScottieRippen ,ok but his dick did you recognize it,
510642,1058178509610172496, ScottieRippen ,ok BUT if you were,
510643,1058178517919072396, ScottieRippen , agonylmfaoo ,
510644,1058178549875490856, ScottieRippen ,jk towelie,
510645,1058178648592633997, CAPT T. FRAUD ,I don t even stare at mine,['towelie']
510646,1058178667202752543, Fuckboy , You need to wait 2 hours 42 minutes and 36 seconds until you can give reputation again ,
510647,1058178670889541643, CAPT T. FRAUD ,Unless I m admiring of course,
510648,1058178717114974338, ScottieRippen ,shit. this is all i can offer you,
510649,1058178725398724659, Fuckboy , You have just given ScottieRippen a reputation point ,['ScottieRippen']
510650,1058178796714463323, CAPT T. FRAUD ,It barely peeks over,['towelie']
510651,1058178816092147853, ScottieRippen ,tyty i must have repped lava rocks lol,
510652,1058178841052446810, CAPT T. FRAUD ,Like the rising sun and a mountain,
510653,1058178854910439555, ScottieRippen ,i ll rep in 2hr,
510654,1058179033130606602, ScottieRippen ,are you chef john from food wishes dot com ,['CAPT T. FRAUD']
510655,1058179446819016785, ScottieRippen ,wtf,
510656,1058179484085403648, ScottieRippen , agonylmfaoo ,
510657,1058179609620918323, CAPT T. FRAUD ,Yes,['ScottieRippen']
510658,1058179803485839471, ScottieRippen ,who is caroline purcell,
510659,1058179894833582080, CAPT T. FRAUD ,Do you pimp out the others ,['towelie']
510660,1058180661896302672, Fuel the fire , pepehi ,['elrizzabeth']
510661,1058180760756027493, elrizzabeth , HUGERS ,['Fuel the fire']
510662,1058180800308330496, n. , pepejuice ,
510663,1058180819329482752, n. , pepetp ,
510664,1058180832457670666, n. , pepeevil ,
510665,1058180848135979118, n. , zappp ,
510666,1058180860769226973, n. , zappp ,
510667,1058180864292429834, Fuel the fire , lilpepe ,['elrizzabeth']
510668,1058180876388806676, n. , zappp ,
510669,1058181043577954314, n. , zappp ,
510670,1058181061084975165, n. , zappp ,
510671,1058181086703783946, n. , zappp ,
510672,1058181225422004275, Fuel the fire ,,
510673,1058181329428160512, Fuel the fire , terf ,
510674,1058181365226549298, Fuel the fire , peepoExit ,
510675,1058181758522249245, yungin ,sleep is for the weak,
