,uuid,user_name,text_clean,mentions_name
340996,1049112970984169573, ScottieRippen ,transphobic,['echelon']
340997,1049112981029539860, Dashie ,Rowow,
340998,1049112991557242890, Dashie ,Say it with me,
340999,1049113079453073538, Dashie ,Cheating coke addicted whores that are age 26 and ex strippers burn in hell cozypepe ,
341000,1049113303286296616, ScottieRippen , ex strippers ,
341001,1049113380046258206, Rowow ,Cheating coke addicted whores that are age 26 and ex strippers burn in hell cozypepe ,
341002,1049113471398203442, ScottieRippen ,what about current strippers why discriminate,
341003,1049113515132207104, kewch ,Ur autistic,['Rowow']
341004,1049113519292948520, DoctorTradez , ,
341005,1049113552084025375, DoctorTradez , ,
341006,1049113574259314769, mik ,just call em out straight instead of pussyfooting around it,
341007,1049113589027450987, Rowow ,thanks,['kewch']
341008,1049113609059434576, Yellow Monkie Man ,who that,['Rowow']
341009,1049113636444061748, kewch ,Is that u in ur pfp,['Rowow']
341010,1049113639283593246, Rowow ,idk ask Dashie,['Dashie']
341011,1049113683923566652, Rowow ,,['kewch']
341012,1049113714390994974, Swolsby ,How did u get my feet video,['NickJ']
341013,1049113884126105640, kewch ,Brave,['Rowow']
341014,1049113999884693564, NickJ ,,
341015,1049114024169713727, ScottieRippen , mik have you left your home this weekend ,['mik']
341016,1049114057006915664, s76.Petunia , LOL ,['NickJ']
341017,1049114095871336518, Jimmy booba ,also whoever it was whose girlfriend was selling feet pics,
341018,1049114112648564798, Jimmy booba ,let her keep all the profit,
341019,1049114120508686396, Rowow ,fun fact jesus was a jew,
341020,1049114129115385936, Jimmy booba ,it s not fair to take half,
341021,1049114129249599518, SharkTrader90 ,Anyone stalking gold ,
341022,1049114136119869510, Rowow , thinkass ,
341023,1049114151957569556, Jimmy booba ,because it s not your feet it s hers,
341024,1049114160883040328, Rowow ,gold is a scam,['SharkTrader90']
341025,1049114163307348078, s76.Petunia , ,
341026,1049114176863338536, Rowow ,gold has zero value,
341027,1049114180847947777, Jkilla G. Peepo Cum Monster , To all my PogChamps and piss babies I m sorry pilled. To all the himbo simps and normie incels F in the chat. I horny posted on main and that was cringecore to say the least. I m working hard to stop being the shit lib sigma cumlord. I m working hard every day to be the turbo charged mommy dom gamer girl that I know that I can be. In the past I was in power cringe mode but I m built different now. I m based and chadpilled and I hope you all can see that. I need a big cope. My vibes have apology energy right now and I just hope you guys are forgiveness pilled. ,['Rowow']
341028,1049114228864331776, ScottieRippen ,Catholicism is a scam,['Rowow']
341029,1049114268282404974, ScottieRippen ,Christianity too,
341030,1049114290080186410, Rowow , To all my PogChamps and piss babies I m sorry pilled. To all the himbo simps and normie incels F in the chat. I horny posted on main and that was cringecore to say the least. I m working hard to stop being the shit lib sigma cumlord. I m working hard every day to be the turbo charged mommy dom gamer girl that I know that I can be. In the past I was in power cringe mode but I m built different now. I m based and chadpilled and I hope you all can see that. I need a big cope. My vibes have apology energy right now and I just hope you guys are forgiveness pilled. ,
341031,1049114312565854228, SharkTrader90 ,well i m looking to short it lol,['Rowow']
341032,1049114316911149158, ScottieRippen , To all my PogChamps and piss babies I m sorry pilled. To all the himbo simps and normie incels F in the chat. I horny posted on main and that was cringecore to say the least. I m working hard to stop being the shit lib sigma cumlord. I m working hard every day to be the turbo charged mommy dom gamer girl that I know that I can be. In the past I was in power cringe mode but I m built different now. I m based and chadpilled and I hope you all can see that. I need a big cope. My vibes have apology energy right now and I just hope you guys are forgiveness pilled. ,
341033,1049114317812924436, Jimmy booba ,not zero but the value is highly inflated. it s useful in electronics,['Rowow']
341034,1049114352499818568, Jimmy booba ,TRUE,['ScottieRippen']
341035,1049114372225634384, NickJ ,,['Rowow']
341036,1049114404072996914, Rowow ,annunaki buying it all out,['SharkTrader90']
341037,1049114463103635516, Rowow ,most gold reserves dont exist,
341038,1049114496775503882, Jkilla G. Peepo Cum Monster ,,['Rowow']
341039,1049114505038270484, Rowow ,gold futures made from thin air,
341040,1049114519349235712, ScottieRippen ,most reserves don t exist,
341041,1049114568619733022, SharkTrader90 ,Short it to 1784 then you guys can buy it,['Rowow']
341042,1049114596671234160, Rowow ,why,['SharkTrader90']
341043,1049114816301760523, SharkTrader90 ,Due for a pullback with what the daily is looking.. TA is iffy lol i m still a newb,['Rowow']
341044,1049114902234665050, SharkTrader90 ,You trade corn i m guessing,['Rowow']
341045,1049114938653818992, Rowow ,heres what you need to know markets will stay irrational longer than you can stay solvent,['SharkTrader90']
341046,1049114980601044992, Rowow ,you will never beat the market with logic ,
341047,1049115013517951026, Yellow Monkie Man ,is this a cameo ,['Jkilla G. Peepo   Cum Monster  ']
341048,1049115020514046122, kewch ,Beat me,['Rowow']
341049,1049115106698596412, SharkTrader90 ,so just go full retard ,['Rowow']
341050,1049115140328525824, SharkTrader90 ,and hope,
341051,1049115173958459443, Rowow ,purchase things you find value in,['SharkTrader90']
341052,1049115203612192828, Rowow ,the best investment you can make is in yourself,
341053,1049115216312553654, Rowow ,start a buisness,
341054,1049115240681447454, Rowow ,create value back to the economy,
341055,1049115249695010876, Jimmy booba ,why does this exist,['Jkilla G. Peepo   Cum Monster  ']
341056,1049115268259000421, Yellow Monkie Man ,please let this be a cameo from some whore,['Jkilla G. Peepo   Cum Monster  ']
