,uuid,user_name,text_clean,mentions_name
46069,1031355903561171014, elrizzabeth ,Omg it s my favorite,['       ']
46070,1031355911547138120, NickJ ,,
46071,1031355963153858720, yungin ,what would i do without a brita,
46072,1031355981784952932, skrvio ,Who let mid memes be posted here every hour,
46073,1031355982875459605, yungin ,makes life easier,
46074,1031356011602251846, skrvio , kekw ,
46075,1031356057789935687, ,I think orange to black would look cool,['leash']
46076,1031356072163823716, CAPT T. FRAUD ,,
46077,1031356124970106891, skrvio ,Huh,
46078,1031356145631236117, ,Same and I think for Halloween it ll be sick,['elrizzabeth']
46079,1031356161179517040, skrvio ,,
46080,1031356161343094866, yungin ,holistic diet is the move,
46081,1031356188559945769, elrizzabeth ,Im wearing one Christmas sock and one Halloween sock,
46082,1031356201444855838, Lucifero Serafino ,tunga bunga,['CAPT T. FRAUD']
46083,1031356227420172308, skrvio ,Why this color choice,['leash']
46084,1031356252674076702, ,Both,['yungin']
46085,1031356275814039715, Fuckboy ,That command is disabled.,
46086,1031356282579456051, ParoleBot ,Done. That felt good.,
46087,1031356283644813333, yungin , gigachad ,['       ']
46088,1031356303009906779, CAPT T. FRAUD ,,['skrvio']
46089,1031356303538401402, skrvio ,I see,
46090,1031356309381066792, Canucknucklehead ,WHOPINGME,
46091,1031356338829275166, SixFigures , ,
46092,1031356358521532536, elrizzabeth , pepeclap ,['Canucknucklehead']
46093,1031356361109418014, Lucifero Serafino ,hunger,['CAPT T. FRAUD']
46094,1031356363852488796, ,Is that blue to white ,['leash']
46095,1031356380193497268, yungin , Pusherman have you repented for your sins yet or are you still a hotdog fanatic,['Pusherman']
46096,1031356421784211528, skrvio ,I m guessing the blue is your soon to come kid,
46097,1031356431930232904, skrvio , pepohappy ,
46098,1031356435679944774, ParoleBot ,Pusherman warned yungin hotdog slander,
46099,1031356465371418654, yungin ,how is that slander,['ParoleBot']
46100,1031356472434638858, yungin , kekw ,
46101,1031356473927806996, ParoleBot ,,
46102,1031356487857082448, Pusherman , ,
46103,1031356504663670874, skrvio ,Interesting,
46104,1031356527409385552, yungin ,can i get a second opinion here,['ParoleBot']
46105,1031356538381684756, yungin ,these seem unfair,
46106,1031356542605332611, Lucifero Serafino ,boss I want to post meme.,['Vash']
46107,1031356579867529338, skrvio ,Wtf,
46108,1031356582405079101, skrvio ,,
46109,1031356589954830367, yungin , kekw ,
46110,1031356613849784351, skrvio ,Ben Shapiro running for office ,
46111,1031356658108084255, yungin ,what the fuck is a fenway hotdog,
46112,1031356660326867046, Thatskindawild ,When everything is put to rest And everybody takes a breath And everything gets addressed It s you alone with your regrets All that pumpin up your chest All that talk about the best You know how sticky it gets,
46113,1031356662927343636, ,It looks cute Orange to black will be perfect for Halloween though and perfect for fall,['leash']
46114,1031356683924017173, Lucifero Serafino ,I am sad now.,['Vash']
46115,1031356708347465749, ,I kind of want to do a dark grey,
46116,1031356720989085746, Thatskindawild ,He gon lie with his heat he don t need the keys He ll be fine in these streets you can let him be He gon die in these streets it ain t no in between He gon die in these streets cause he don t wanna leave Gotta get up out these streets they say that karma real Gotta get up out these streets before they kill Bill He feel like if he ran these streets then he could run the world,['       ']
46117,1031356743135014972, skrvio ,Do a brown with white tips,['       ']
46118,1031356778144870410, skrvio ,Sexy asf,
46119,1031356790367068290, skrvio , peeposcreech ,
46120,1031356820729647174, Thatskindawild ,Cum worthy,
