,uuid,user_name,text_clean,mentions_name
346853,1049475291338260592, Swolsby , Ziffy come on in im having a bbq on friday bro,['Ziffy']
346854,1049475555684270251, MojitoMorales Parking Lot Papi ,,['MichaelAde']
346855,1049475569303179384, Swolsby ,Ye in 2024,['MojitoMorales  Parking Lot Papi ']
346856,1049475774769537054, Ziffy , Swolsby aw man thanks for the invite but i ve got social anxiety so i don t think i d feel comfortable,['Swolsby']
346857,1049475850921316413, meggymoon ,were you just in vc ,['TayTay ']
346858,1049475882319888525, MojitoMorales Parking Lot Papi ,,
346859,1049475952092123317, MojitoMorales Parking Lot Papi ,,
346860,1049475963693563955, Swolsby ,All good man just sit in a corner ill bring them ribs over,['Ziffy']
346861,1049477739972927578, NickJ ,,
346862,1049477988649013368, peepee ,oh.. swolsby make sure you look on the ground when you re walking around gonna leave you a small gift,
346863,1049478093997355098, Swolsby ,,['NickJ']
346864,1049478170228822137, Swolsby ,Yeah man i like finding random surprises,['peepee']
346865,1049478239397093386, Pusherman ,,['peepee']
346866,1049478571409813515, Swolsby ,,['Pusherman']
346867,1049478647905538138, Swolsby ,Waiting to be 251,
346868,1049478665903296612, Swolsby , zyzz zyzz zyzz ,
346869,1049478759834726420, peepee ,i m def going to be 251 before u that dude terrifies me agonylmfaoo ,['Swolsby']
346870,1049478812393545849, echelon ,,
346871,1049478933499891763, Ziffy ,you re insane i m just friggen kidding,['peepee']
346872,1049478967175958578, Swolsby ,How fucking fat u gotta be for that,['echelon']
346873,1049478994992578570, echelon ,ask pyth,
346874,1049479015456579634, Swolsby , PepeLaugh ,
346875,1049479017763442719, Fuckboy ,That command is disabled.,
346876,1049479064462819358, ParoleBot ,Done. That felt good.,
346877,1049479081621725195, Swolsby , pepeyoinks ,
346878,1049479089620275200, peepee ,were you kidding or being serious when you said you were going to put me in a ditch,
346879,1049479100219273226, peepee ,lmao,
346880,1049479106674307072, peepee ,nvm,
346881,1049479112546328576, peepee ,cya,
346882,1049479137078804520, Swolsby ,Oh fuck,
346883,1049479151259766834, peepee ,schizo,
346884,1049479157379244062, . ,,
346885,1049479353026752572, Swolsby ,Boi if u dont make these go viral ima go nuts,['. ']
346886,1049479399050838067, Swolsby ,Those are legit funny,
346887,1049479494643232799, . ,who would be a good one to do it on,
346888,1049479838060249088, Swolsby ,Kanye has so much fucking god dude,
346889,1049479905005547602, Swolsby , . look at this shit,['. ']
