,uuid,user_name,text_clean,mentions_name
162357,1036429588655513671, Fuckboy ,You found 45 ,['SixFigures']
162358,1036429714094555216, Swolsby , hate2doit This girl gave me a blowjob that I still think about. We were in my backseat and man she absolutely went to town pulling off ninja moves on my penis. She slurped sucked tongued moaned spat shoved my dick and balls down her throat everything. It was so good it made me cry. I was weeping tears of joy I felt all the love from my ancestors I saw Jesus Christ 10 meters down the road giving me a thumbs up. She s married now with kids and her husband always has a big smile on his face. His FB profile pic is basically his teeth.,['hate2doit']
162359,1036429824014692373, MotoMana , elrizzabeth This girl gave me a blowjob that I still think about. We were in my backseat and man she absolutely went to town pulling off ninja moves on my penis. She slurped sucked tongued moaned spat shoved my dick and balls down her throat everything. It was so good it made me cry. I was weeping tears of joy I felt all the love from my ancestors I saw Jesus Christ 10 meters down the road giving me a thumbs up. She s married now with kids and her husband always has a big smile on his face. His FB profile pic is basically his teeth.,['elrizzabeth']
162360,1036429868222660629, Dashie , Hmm ,
162361,1036429975420678344, Pusherman ,Accurate,
162362,1036429986690764810, uatemycookie , elrizzabeth This girl gave me a blowjob that I still think about. We were in my backseat and man she absolutely went to town pulling off ninja moves on my penis. She slurped sucked tongued moaned spat shoved my dick and balls down her throat everything. It was so good it made me cry. I was weeping tears of joy I felt all the love from my ancestors I saw Jesus Christ 10 meters down the road giving me a thumbs up. She s married now with kids and her husband always has a big smile on his face. His FB profile pic is basically his teeth.,['elrizzabeth']
162363,1036430052096745502, Copium Dealer PhD submit3r ,Anyone here know of an investors that copy pasted Rockefeller Rothschild investments A la any rich conspiracy theorists ,
162364,1036430100264124517, uatemycookie ,Blowjobs are overrated. Change my mind Evil ,
162365,1036430166953578546, MotoMana ,Let me change your mind uatemycookie CatLick ,['uatemycookie']
162366,1036430222310002749, Fuckboy , MotoMana wants to blow blow uatemycookie,"['uatemycookie', 'MotoMana']"
162367,1036430223048183938, Copium Dealer PhD submit3r , Joins WSB Asks for investing advice Blowjobs are overrated,
162368,1036430225535414312, uatemycookie , pepeoo ,
162369,1036430261593833483, uatemycookie ,yes,
162370,1036430265549082654, Pusherman , tax pepehands ,['tax']
162371,1036430365029576786, MotoMana ,Ah sweet summer child you ll learn,['Copium Dealer PhD submit3r']
162372,1036430444394184714, Copium Dealer PhD submit3r ,Still sipping on gin and jews ,['SnoopDOGGE']
162373,1036430450232660128, uatemycookie , PepeBritish ,['SnoopDOGGE']
162374,1036430459107819520, omerta , ,
162375,1036430568944046080, uatemycookie ,I embarrassed myself in front of you crypeepo ,['Copium Dealer PhD submit3r']
162376,1036430586983747644, Copium Dealer PhD submit3r ,White claws ,
162377,1036430588757934142, uatemycookie ,Sorry fren,
162378,1036430608198537288, uatemycookie , HUGERS ,
162379,1036430619481231360, Copium Dealer PhD submit3r ,Bruh,
162380,1036430633435680869, Copium Dealer PhD submit3r ,Whiteclaws ,
162381,1036430669330518036, uatemycookie ,It s weed talk,
162382,1036430673386414120, NickJ ,aint no laws with the claws,
162383,1036430687143743608, uatemycookie ,pothead talk,
162384,1036430719238545481, uatemycookie ,Dont do weed kids,
162385,1036430726511468657, Copium Dealer PhD submit3r ,Someone seize his means of production,
162386,1036430756240699432, uatemycookie ,Not cause it s dangerous. But because it makes you lazy,
162387,1036430865762369646, clipperfrog ,Ima seize your means of reproduction dude,['Copium Dealer PhD submit3r']
