,raw,timestamp,user,message,file_ind
0,[01:53] <kevb> jamesstansell: that can't be good?,01:53,kevb, jamesstansell: that can't be good?,0
1,"[01:53] <bigusdickus> kevb, no problem",01:53,bigusdickus," kevb, no problem",1
2,"[01:53] <bigusdickus> kevb, you can uninstall ubuntu-desktop",01:53,bigusdickus," kevb, you can uninstall ubuntu-desktop",2
3,[01:53] <jamesstansell> kevb: something like apt-get -d source vino should download the missing dependencies. Once you know what they are you can install them,01:53,jamesstansell, kevb: something like apt-get -d source vino should download the missing dependencies. Once you know what they are you can install them,3
4,[01:53] <kevb> ah ok thnx,01:53,kevb, ah ok thnx,4
5,[01:54] <dcypherd> sorry i forgot about the purists,01:54,dcypherd, sorry i forgot about the purists,5
6,"[01:54] <jason_> dcypherd: I would rather anyone learn how to modify a plain-text file and take the risk of making errors, and learn the importance of making backups, than having them cluelessly use software that messes up their machine.",01:54,jason_," dcypherd: I would rather anyone learn how to modify a plain-text file and take the risk of making errors, and learn the importance of making backups, than having them cluelessly use software that messes up their machine.",6
7,=== hype [n=hype@gar31-3-82-234-50-53.fbx.proxad.net]  has joined #ubuntu,,,,7
8,[01:54] <dcypherd> yeah yeah i see your point,01:54,dcypherd, yeah yeah i see your point,8
9,=== crackers [n=kvirc@97.232.203.62.cust.bluewin.ch]  has joined #ubuntu,,,,9
10,[01:54] <hype> hi there,01:54,hype, hi there,10
11,=== tortho [n=tortho@99.84-49-88.nextgentel.com]  has joined #ubuntu,,,,11
12,"[01:54] <jamesstansell> kevb: it won't hurt to remove ubuntu-desktop, but you'll want to reinstall it when everything is working again, so it will be there when you upgrade to feisty",01:54,jamesstansell," kevb: it won't hurt to remove ubuntu-desktop, but you'll want to reinstall it when everything is working again, so it will be there when you upgrade to feisty",12
13,=== babwe2 [n=poul@0x3e42bcbd.adsl.cybercity.dk]  has joined #ubuntu,,,,13
14,[01:55] <rc-1>  is there an irc command to query channels (based on popularity etc?),01:55,rc-1,  is there an irc command to query channels (based on popularity etc?),14
15,"[01:55] <bigusdickus> rc-1, in x-chat: Window->Channel List",01:55,bigusdickus,Channel List,15
16,=== cynical_ [n=cynical@adsl-068-209-095-168.sip.gsp.bellsouth.net]  has joined #ubuntu,,,,16
17,"[01:56] <bigusdickus> rc-1, no popularity contest among irc channels though",01:56,bigusdickus," rc-1, no popularity contest among irc channels though",17
18,[01:56] <tortho> anyone who knows an easy way to apply a patch to the kernel (i have some diff and i'm a newbie to this),01:56,tortho, anyone who knows an easy way to apply a patch to the kernel (i have some diff and i'm a newbie to this),18
19,=== Gekitsuu [n=aglenn@pool-71-163-120-41.washdc.fios.verizon.net]  has joined #ubuntu,,,,19
20,=== slinky_ [n=twh@hst-dhcp-142-166-156-179.cable.crrstv.net]  has joined #ubuntu,,,,20
21,=== Gekitsuu [n=aglenn@pool-71-163-120-41.washdc.fios.verizon.net]  has left #ubuntu [],,,,21
22,=== windtw [n=wind@59-112-226-171.dynamic.hinet.net]  has joined #ubuntu,,,,22
23,"[01:56] <bigusdickus> tortho, gzip -cd ../patch-2.6.18.1.gz | patch -p1",01:56,bigusdickus," tortho, gzip -cd ../patch-2.6.18.1.gz | patch -p1",23
24,"=== richee [n=ashish@203.101.52.132]  has left #ubuntu [""Leaving""]",,,,24
25,=== phatmonkey [i=nobody@81.2.121.150]  has joined #ubuntu,,,,25
26,=== user-land2 is now known as user-land,,,,26
27,=== Gekitsuu [n=aglenn@pool-71-163-120-41.washdc.fios.verizon.net]  has joined #ubuntu,,,,27
28,=== johnema [n=john@85-18-14-22.fastres.net]  has joined #ubuntu,,,,28
29,"[01:57] <kevb> jamesstansell: apt-get -d source vino just got vino again, no dependencies :S",01:57,kevb," jamesstansell: apt-get -d source vino just got vino again, no dependencies :S",29
30,[01:57] <tortho> bigusdickus: is this how i can apply the diff text to my kernel?,01:57,tortho, bigusdickus: is this how i can apply the diff text to my kernel?,30
