,raw,timestamp,user,message
0,[06:30] <brian98> <montytaylor> #ubuntu+1,06:30,brian98> <montytaylor,#ubuntu+1
1,[06:31] <montytaylor> brian98: thanks,06:31,montytaylor,brian98: thanks
2,[06:31] <benjamin112> haha....umm could you walk me through it drwillis? i just started using linux and dont have much of a clue where to start...,06:31,benjamin112,haha....umm could you walk me through it drwillis? i just started using linux and dont have much of a clue where to start...
3,"[06:31] <Jordan_> Is there any difference between installing Ubungu server and adding Ubuntu-desktop vs.  installing Ubuntu Desktop iso and adding Apache, PHP and SQL packages?",06:31,Jordan_,"Is there any difference between installing Ubungu server and adding Ubuntu-desktop vs.  installing Ubuntu Desktop iso and adding Apache, PHP and SQL packages?"
4,=== djancak [n=djancak@72.146.25.232]  has joined #ubuntu,,,
5,=== Tron [n=tron@adsl-1-192.QLD.dft.com.au]  has joined #ubuntu,,,
6,"[06:31] <IcemanV9> JoaoJoao: if i could remember, i think there is a wiki on create an updated iso on your own somewhere.",06:31,IcemanV9,"JoaoJoao: if i could remember, i think there is a wiki on create an updated iso on your own somewhere."
7,=== Jordan_ is now known as jordantbro,,,
8,=== IcemanV9 searches for its link,,,
9,=== CorpseFeeder [n=mouser@ppp126-164.lns2.bne4.internode.on.net]  has left #ubuntu [],,,
10,[06:32] <stuart_> i installed ubuntu on a spare hard drive and now neigther it nor XP will load,06:32,stuart_,i installed ubuntu on a spare hard drive and now neigther it nor XP will load
11,=== merch [n=ubuntu2u@c-67-164-41-22.hsd1.or.comcast.net]  has joined #ubuntu,,,
12,[06:32] <stuart_> i need some GRUB help please,06:32,stuart_,i need some GRUB help please
13,[06:32] <JoaoJoao> I would need a machine with Linux installed to do the upgrade and generate the ISO,06:32,JoaoJoao,I would need a machine with Linux installed to do the upgrade and generate the ISO
14,"[06:32] <montytaylor> jordantbro: ubuntu-server installs less crap in the first place. If you don't mind gui desktop stuff, installing desktop is fine",06:32,montytaylor,"jordantbro: ubuntu-server installs less crap in the first place. If you don't mind gui desktop stuff, installing desktop is fine"
15,=== jharr_ [n=jharr@obrien.gds.unomaha.edu]  has joined #ubuntu,,,
16,"[06:33] <jordantbro> thank you, what would you suggest as a desktop for a semi-noob trying to setup LAMP.  I am not quite ready to go totally without GUI yet.",06:33,jordantbro,"thank you, what would you suggest as a desktop for a semi-noob trying to setup LAMP.  I am not quite ready to go totally without GUI yet."
17,"[06:33] <Dr_Willis> ViperFox,   My xorg.conf --> http://usalug.org/pastebin/pastebin.php?show=25",06:33,"Dr_Willis> ViperFox,   My xorg.conf --",http://usalug.org/pastebin/pastebin.php?show=25
18,=== marksalmeida [n=marksalm@200-193-224-186.bsace705.dsl.brasiltelecom.net.br]  has joined #ubuntu,,,
19,=== synjet [n=pk@cshotspot.cs.unm.edu]  has joined #ubuntu,,,
20,[06:34] <montytaylor> jordantbro: just go with gnome. it's the default.,06:34,montytaylor,jordantbro: just go with gnome. it's the default.
21,[06:34] <synjet> !r bomm*app,06:34,synjet,!r bomm*app
22,"[06:34] <ubotu> Sorry, I don't know anything about r bomm*app - try searching on http://bots.ubuntulinux.nl/factoids.cgi",06:34,ubotu,"Sorry, I don't know anything about r bomm*app - try searching on http://bots.ubuntulinux.nl/factoids.cgi"
23,=== altprsona [n=default@h126.137.140.67.ip.alltel.net]  has joined #ubuntu,,,
24,=== iceman24k [n=iceman@wsu33-188.rurallink.net]  has joined #ubuntu,,,
25,[06:35] <ANTDx1> Thanks to everyone who helped/tried to help me with things.  It really is appreciated.,06:35,ANTDx1,Thanks to everyone who helped/tried to help me with things.  It really is appreciated.
26,[06:35] <Dysko> where is the best place to get Ubuntu support for drivers and hardware which is not up and going?,06:35,Dysko,where is the best place to get Ubuntu support for drivers and hardware which is not up and going?
27,[06:35] <JoaoJoao> well I'm fscked :),06:35,JoaoJoao,well I'm fscked :)
28,"=== altprsona [n=default@h126.137.140.67.ip.alltel.net]  has left #ubuntu [""Leaving""]",,,
29,[06:35] <jordantbro> Thanks montytaylor,06:35,jordantbro,Thanks montytaylor
30,=== iceman24k [n=iceman@wsu33-188.rurallink.net]  has joined #ubuntu,,,
31,"[06:35] <Dr_Willis> Dysko,  for free?  or pay?",06:35,Dr_Willis,"Dysko,  for free?  or pay?"
32,=== malv [n=malv@71-80-138-219.dhcp.rvsd.ca.charter.com]  has joined #ubuntu,,,
33,[06:35] <malv> does nvidia support aiglx yet?,06:35,malv,does nvidia support aiglx yet?
