,raw,timestamp,user,message,file_ind
0,[09:14] <crimsun> kleedrac: I'm afraid not. Any version of mplayer except for -k7* should work for your cpu,09:14,crimsun, kleedrac: I'm afraid not. Any version of mplayer except for -k7* should work for your cpu,0
1,[09:14] <intinig> does a subversion gnome client exist?,09:14,intinig, does a subversion gnome client exist?,1
2,[09:14] <kleedrac> crimsun: Hmmm ... I wonder why it does that?,09:14,kleedrac, crimsun: Hmmm ... I wonder why it does that?,2
3,[09:15] <will> best media player: VLC /get wxvlc) It plays everything!,09:15,will, best media player: VLC /get wxvlc) It plays everything!,3
4,[09:15] <|QuaD-> will: totem has caused me no troubles,09:15,|QuaD-, will: totem has caused me no troubles,4
5,[09:15] <|QuaD-> totem xine,09:15,|QuaD-, totem xine,5
6,[09:15] <crimsun> kleedrac: good question.,09:15,crimsun, kleedrac: good question.,6
7,[09:15] <Tsjoklate> |QuaD same here.. totem-xine werkt geweldig,09:15,Tsjoklate, |QuaD same here.. totem-xine werkt geweldig,7
8,[09:15] <crimsun> intinig: I don't see one in warty or hoary,09:15,crimsun, intinig: I don't see one in warty or hoary,8
9,[09:15] <kleedrac> xine is working great for video and xmms works great for mp3's but some of my music is in .wma as my wife ripped it,09:15,kleedrac, xine is working great for video and xmms works great for mp3's but some of my music is in .wma as my wife ripped it,9
10,=== L0sT [~waa3@raptor.ukc.ac.uk]  has joined #ubuntu,,,,10
11,"[09:16] <will> xine is very good, with w32codecs",09:16,will," xine is very good, with w32codecs",11
12,[09:16] <|QuaD-> kleedrac: heh.. never needed a wma file played,09:16,|QuaD-, kleedrac: heh.. never needed a wma file played,12
13,"[09:16] <crimsun> intinig: however, there's always gsvn, as in http://gsvn.tigris.org/",09:16,crimsun," intinig: however, there's always gsvn, as in http://gsvn.tigris.org/",13
14,"[09:16] <will> but post processing with VLC is the way forward, it uses its own codecs (builtin)",09:16,will," but post processing with VLC is the way forward, it uses its own codecs (builtin)",14
15,[09:16] <kleedrac> Quad: consider yourself lucky :) worse quality than mp3 ... wish she'd learn to use oggenc that's why I installed it :),09:16,kleedrac, Quad: consider yourself lucky :) worse quality than mp3 ... wish she'd learn to use oggenc that's why I installed it :),15
16,"[09:17] <crimsun> intinig: that project, however, seems deprecated.",09:17,crimsun," intinig: that project, however, seems deprecated.",16
17,[09:17] <intinig> what should I use then?,09:17,intinig, what should I use then?,17
18,[09:17] <|QuaD-> kleedrac: is ogg open source?,09:17,|QuaD-, kleedrac: is ogg open source?,18
19,[09:17] <kleedrac> Quad: absolutely,09:17,kleedrac, Quad: absolutely,19
20,[09:17] <crimsun> all Ogg-based codecs are open source,09:17,crimsun, all Ogg-based codecs are open source,20
21,=== vassie [~vassie@195.153.177.75]  has joined #ubuntu,,,,21
22,[09:17] <|QuaD-> kleedrac: :),09:17,|QuaD-, kleedrac: :),22
