,raw,timestamp,user,message,file_ind
0,[08:07] <Ben64> the newest hwe in 16.04 has 4.11,08:07,Ben64, the newest hwe in 16.04 has 4.11,0
1,[08:08] <PlusMinus> i dont see no 17.10 only see 17.04,08:08,PlusMinus, i dont see no 17.10 only see 17.04,1
2,[08:08] <PlusMinus> https://www.ubuntu.com/download/desktop,08:08,PlusMinus, https://www.ubuntu.com/download/desktop,2
3,[08:09] <ducasse> 17.10 is under development -  http://cdimage.ubuntu.com/daily-live/current,08:09,ducasse, 17.10 is under development -  http://cdimage.ubuntu.com/daily-live/current,3
4,[08:10] <PlusMinus> is this the file i want?   artful-desktop-amd64.iso,08:10,PlusMinus, is this the file i want?   artful-desktop-amd64.iso,4
5,[08:10] <Herdo> yes,08:10,Herdo, yes,5
6,[08:10] <PlusMinus> k,08:10,PlusMinus, k,6
7,=== r0Oter is now known as r00ter,,,,7
8,[08:11] <PlusMinus> i had to put acpi=off in the cmd line when i booted up 17.04 will i need to do it with 17.10?,08:11,PlusMinus, i had to put acpi=off in the cmd line when i booted up 17.04 will i need to do it with 17.10?,8
9,[08:11] <Ben64> that causes problems,08:11,Ben64, that causes problems,9
10,[08:12] <PlusMinus> if i don't put acpi=off with 17.04 it wouldn't boot kept giving me interupt 7 errors,08:12,PlusMinus, if i don't put acpi=off with 17.04 it wouldn't boot kept giving me interupt 7 errors,10
11,[08:12] <Ben64> probably because your cpu wasn't supported,08:12,Ben64, probably because your cpu wasn't supported,11
12,"[08:13] <PlusMinus> cruddy, yah i was reading up and found out that linux is having issues with gigabyte boards",08:13,PlusMinus," cruddy, yah i was reading up and found out that linux is having issues with gigabyte boards",12
13,"[08:14] <PlusMinus> and then giga goes out and rls a shitty bios that is frying some ppl's systems, heh",08:14,PlusMinus," and then giga goes out and rls a shitty bios that is frying some ppl's systems, heh",13
14,"[08:15] <PlusMinus> ok, well thx for the help, i will test out 17.10 and report what i find out, GN!",08:15,PlusMinus," ok, well thx for the help, i will test out 17.10 and report what i find out, GN!",14
15,[08:19] <Herdo> PlusMinus: I was just about to ask you that.,08:19,Herdo, PlusMinus: I was just about to ask you that.,15
16,[08:20] <Herdo> turning acpi=off will cause this 1 core problem you are having,08:20,Herdo, turning acpi=off will cause this 1 core problem you are having,16
17,[08:32] <blakes5> is there a way to see the free space of individual drives on logical volume in LVM?,08:32,blakes5, is there a way to see the free space of individual drives on logical volume in LVM?,17
18,[09:31] <CountryfiedLinux> howdy,09:31,CountryfiedLinux, howdy,18
19,[09:31] <CountryfiedLinux> My speakers aren't detected in Linux when plugged into the monitor's audio jack.,09:31,CountryfiedLinux, My speakers aren't detected in Linux when plugged into the monitor's audio jack.,19
20,[09:31] <CountryfiedLinux> Still confirmed.,09:31,CountryfiedLinux, Still confirmed.,20
21,[09:32] <CountryfiedLinux> Plugged speakers into monitor's audio jack. Speakers not detected. Laptop audio jack detected fine.,09:32,CountryfiedLinux, Plugged speakers into monitor's audio jack. Speakers not detected. Laptop audio jack detected fine.,21
22,[09:32] <CountryfiedLinux> But that limits me to 1 headphone jack.,09:32,CountryfiedLinux, But that limits me to 1 headphone jack.,22
23,[09:39] <CountryfiedLinux> Is this a driver issue?,09:39,CountryfiedLinux, Is this a driver issue?,23
24,"[09:39] <koomen> Hi there. I run ubuntu 16.04 LTS on a macbook and have problems with xbacklight. When I do: xbacklight -dec 20 I get ""No outputs have backlight property""... I googled a lot already but can't find something that works for me",09:39,koomen," Hi there. I run ubuntu 16.04 LTS on a macbook and have problems with xbacklight. When I do: xbacklight -dec 20 I get ""No outputs have backlight property""... I googled a lot already but can't find something that works for me",24
25,[09:48] <|subz3r0|> hi,09:48,|subz3r0|, hi,25
26,"[09:48] <|subz3r0|> after installing a DE on ubuntu server 16.04, after a reboot no desktop comes up. its bootin in the cli again. any ideas?",09:48,|subz3r0|," after installing a DE on ubuntu server 16.04, after a reboot no desktop comes up. its bootin in the cli again. any ideas?",26
27,"[09:52] <ledeni> |subz3r0|, what de you using?",09:52,ledeni," |subz3r0|, what de you using?",27
28,[09:56] <|subz3r0|> mate,09:56,|subz3r0|, mate,28
29,[09:57] <tomreyn> |subz3r0|: how did you install mate?,09:57,tomreyn, |subz3r0|: how did you install mate?,29
30,[09:58] <|subz3r0|> mate-desktop without recommends,09:58,|subz3r0|, mate-desktop without recommends,30
31,"[10:00] <ledeni> |subz3r0|, try startx to see it come up",10:00,ledeni," |subz3r0|, try startx to see it come up",31
32,[10:01] <|subz3r0|> startx is not installed,10:01,|subz3r0|, startx is not installed,32
33,[10:04] <tomreyn> you probably lack a display manager,10:04,tomreyn, you probably lack a display manager,33
34,[10:05] <|subz3r0|> lightdm-gtk-greeter is fine?,10:05,|subz3r0|, lightdm-gtk-greeter is fine?,34
35,[10:05] <|subz3r0|> or do i need the whole lightdm?,10:05,|subz3r0|, or do i need the whole lightdm?,35
36,"[10:07] <smithmail> Hello , irc can't connect with mobile hotspot :)",10:07,smithmail," Hello , irc can't connect with mobile hotspot :)",36
37,[10:07] <smithmail> Please anyone tell me why,10:07,smithmail, Please anyone tell me why,37
38,[10:07] <|subz3r0|> smithmail: I guess you should provide us more details what's not working exactly.,10:07,|subz3r0|, smithmail: I guess you should provide us more details what's not working exactly.,38
39,[10:08] <brainwash> |subz3r0|: lightdm-gtk-greeter should pull in lightdm anyway,10:08,brainwash, |subz3r0|: lightdm-gtk-greeter should pull in lightdm anyway,39
40,[10:09] <smithmail> Okay sir : Urunbu Pidgin use wifi from mobile phone,10:09,smithmail, Okay sir : Urunbu Pidgin use wifi from mobile phone,40
41,[10:09] <tomreyn> |subz3r0|: you need any x-display-manager (that's a meta package you can search for),10:09,tomreyn, |subz3r0|: you need any x-display-manager (that's a meta package you can search for),41
42,[10:09] <|subz3r0|> brainwash: i installed now xinit and lightdm-gtk-greeter... its still not bootin in the DE,10:09,|subz3r0|, brainwash: i installed now xinit and lightdm-gtk-greeter... its still not bootin in the DE,42
43,[10:09] <smithmail> Wep/wep2 personal,10:09,smithmail, Wep/wep2 personal,43
44,"[10:09] <tomreyn> |subz3r0|: and you also need X, of course.",10:09,tomreyn," |subz3r0|: and you also need X, of course.",44
45,[10:10] <smithmail> I can receive email and visit websites,10:10,smithmail, I can receive email and visit websites,45
46,"[10:10] <tomreyn> |subz3r0|: if you choose lightdm, lightdm-gtk-greeter is not enough",10:10,tomreyn," |subz3r0|: if you choose lightdm, lightdm-gtk-greeter is not enough",46
47,[10:10] <brainwash> |subz3r0|: does the greeter load?,10:10,brainwash, |subz3r0|: does the greeter load?,47
48,[10:11] <smithmail> And pidgin works well under wifi when I have WiFi route,10:11,smithmail, And pidgin works well under wifi when I have WiFi route,48
49,[10:12] <|subz3r0|> brainwash: no,10:12,|subz3r0|, brainwash: no,49
50,[10:13] <|subz3r0|> smithmail: are you sure your provider is not blocking it? Which irc client do you use? what errors does it show you?,10:13,|subz3r0|, smithmail: are you sure your provider is not blocking it? Which irc client do you use? what errors does it show you?,50
51,[10:13] <brainwash> |subz3r0|: I would try this: sudo systemctl start lightdm,10:13,brainwash, |subz3r0|: I would try this: sudo systemctl start lightdm,51
52,[10:14] <smithmail> I use Pidgin,10:14,smithmail, I use Pidgin,52
53,[10:14] <smithmail> And it works fine in normal wifi,10:14,smithmail, And it works fine in normal wifi,53
54,[10:14] <smithmail> But can't connect when I use mobile phone hotspot,10:14,smithmail, But can't connect when I use mobile phone hotspot,54
55,[10:14] <|subz3r0|> brainwash: i can see now the greeter. but it looks horrible and i cannot login with my credentials,10:14,|subz3r0|, brainwash: i can see now the greeter. but it looks horrible and i cannot login with my credentials,55
56,"[10:15] <|subz3r0|> smithmail: everything else is working, right?",10:15,|subz3r0|," smithmail: everything else is working, right?",56
57,"[10:15] <smithmail> Sometimes I make a wifi hotspot by my mobile phone ,",10:15,smithmail," Sometimes I make a wifi hotspot by my mobile phone ,",57
58,"[10:15] <|subz3r0|> smithmail: yeah, but that should not be the issue",10:15,|subz3r0|," smithmail: yeah, but that should not be the issue",58
59,[10:15] <smithmail> Yes. Everything good,10:15,smithmail, Yes. Everything good,59
60,[10:15] <smithmail> Expect IRC,10:15,smithmail, Expect IRC,60
61,[10:16] <|subz3r0|> please pastebin following commands from terminal,10:16,|subz3r0|, please pastebin following commands from terminal,61
62,"[10:16] <brainwash> |subz3r0|: uhm. the theme can be changed I guess. maybe the wrong keyboard layout is selected, so check the keyboard indicator in the top bar",10:16,brainwash," |subz3r0|: uhm. the theme can be changed I guess. maybe the wrong keyboard layout is selected, so check the keyboard indicator in the top bar",62
63,[10:16] <|subz3r0|> 1. ifconfig 2. route -n 3. ping -c3 google.com,10:16,|subz3r0|, 1. ifconfig 2. route -n 3. ping -c3 google.com,63
64,[10:17] <tomreyn> smithmail: reconfigure the pidgin IRC module to connect to Freenode on port 6697 and to use SSL,10:17,tomreyn, smithmail: reconfigure the pidgin IRC module to connect to Freenode on port 6697 and to use SSL,64
65,"[10:17] <|subz3r0|> this way we can see your network config, if name res works and the set routes",10:17,|subz3r0|," this way we can see your network config, if name res works and the set routes",65
66,[10:17] <smithmail> Well. Everything okay but pidgin,10:17,smithmail, Well. Everything okay but pidgin,66
67,"[10:17] <brainwash> |subz3r0|: to enable lightdm permanently, run: sudo systemctl enable lightdm",10:17,brainwash," |subz3r0|: to enable lightdm permanently, run: sudo systemctl enable lightdm",67
68,[10:18] <|subz3r0|> brainwash: what packages do i exactly need to install minimal mate desktop after a fresh ubuntu install? Just standard system utilities are isntalled,10:18,|subz3r0|, brainwash: what packages do i exactly need to install minimal mate desktop after a fresh ubuntu install? Just standard system utilities are isntalled,68
69,[10:19] <brainwash> |subz3r0|: I think that you need to install with recommends,10:19,brainwash, |subz3r0|: I think that you need to install with recommends,69
70,[10:19] <|subz3r0|> smithmail: also do a ping to the irc server from CLI and paste it,10:19,|subz3r0|, smithmail: also do a ping to the irc server from CLI and paste it,70
71,[10:19] <|subz3r0|> brainwash: but i dont want to install all this bloatware,10:19,|subz3r0|, brainwash: but i dont want to install all this bloatware,71
72,"[10:20] <ddellav> |subz3r0| installing a window manager requires a ton of extra packages, you'll need them all",10:20,ddellav," |subz3r0| installing a window manager requires a ton of extra packages, you'll need them all",72
73,[10:20] <|subz3r0|> smithmail: you will give us the info now or not?,10:20,|subz3r0|, smithmail: you will give us the info now or not?,73
74,"[10:20] <|subz3r0|> smithmail: since its pretty hard to investigate issues with just explanations like ""it's not working, but the other way it does...""",10:20,|subz3r0|," smithmail: since its pretty hard to investigate issues with just explanations like ""it's not working, but the other way it does...""",74
75,"[10:20] <brainwash> |subz3r0|: then it's just ""mate""",10:20,brainwash," |subz3r0|: then it's just ""mate""",75
76,[10:21] <|subz3r0|> ddellav: but i installed it,10:21,|subz3r0|, ddellav: but i installed it,76
77,"[10:22] <|subz3r0|> ddellav: mate-desktop (without recommends), lightdm-gtk-greeter, lightdm",10:22,|subz3r0|," ddellav: mate-desktop (without recommends), lightdm-gtk-greeter, lightdm",77
78,[10:22] <|subz3r0|> that should be sufficient under normal circumstances. so actually im not sure whats missing,10:22,|subz3r0|, that should be sufficient under normal circumstances. so actually im not sure whats missing,78
79,[10:23] <ddellav> if its in recommends then you don't need it,10:23,ddellav, if its in recommends then you don't need it,79
80,"[10:25] <|subz3r0|> i give ""mate"" a shot",10:25,|subz3r0|," i give ""mate"" a shot",80
81,"[10:26] <|subz3r0|> ddellav, brainwash: the thing is, i dont need or want to install all the bloat like firefox, thunderbird, screensaver, libre office, ...",10:26,|subz3r0|," ddellav, brainwash: the thing is, i dont need or want to install all the bloat like firefox, thunderbird, screensaver, libre office, ...",81
82,"[10:26] <ddellav> so then don't, i guess i don't see the issue",10:26,ddellav," so then don't, i guess i don't see the issue",82
83,"[10:27] <brainwash> so, problem solved?",10:27,brainwash," so, problem solved?",83
84,[10:27] <|subz3r0|> still dl-ing,10:27,|subz3r0|, still dl-ing,84
85,[10:27] <brainwash> ok,10:27,brainwash, ok,85
86,"[10:27] <bazhang> |subz3r0|, get the mini iso and build up",10:27,bazhang," |subz3r0|, get the mini iso and build up",86
87,"[10:28] <bazhang> |subz3r0|, put lxqt lxde/opnbox on that",10:28,bazhang," |subz3r0|, put lxqt lxde/opnbox on that",87
88,[10:28] <bazhang> !mini | |subz3r0|,10:28,bazhang, !mini | |subz3r0|,88
89,"[10:28] <ubottu> |subz3r0|: The Minimal CD image is very small in size, and it downloads most packages from the Internet during installation, allowing you to select only those you want.  The installer is text based (rather than graphical as used on the Desktop DVD). See https://help.ubuntu.com/community/Installation/MinimalCD",10:28,ubottu," |subz3r0|: The Minimal CD image is very small in size, and it downloads most packages from the Internet during installation, allowing you to select only those you want.  The installer is text based (rather than graphical as used on the Desktop DVD). See https://help.ubuntu.com/community/Installation/MinimalCD",89
90,"[10:28] <|subz3r0|> bazhang: correct me when im wrong. but i guess when i select there the DE, for example mate, it will install all the unwanted apps i don't want to get installed on the system",10:28,|subz3r0|," bazhang: correct me when im wrong. but i guess when i select there the DE, for example mate, it will install all the unwanted apps i don't want to get installed on the system",90
91,"[10:29] <bazhang> |subz3r0|, it wont",10:29,bazhang," |subz3r0|, it wont",91
92,"[10:29] <|subz3r0|> also i dont want lxde, because it looks horrible ;)",10:29,|subz3r0|," also i dont want lxde, because it looks horrible ;)",92
93,"[10:29] <|subz3r0|> I use it in different types of settings, but not for that machine",10:29,|subz3r0|," I use it in different types of settings, but not for that machine",93
94,[10:29] <bazhang> so get the mini,10:29,bazhang, so get the mini,94
95,[10:30] <bazhang> you've not even tried lxqt,10:30,bazhang, you've not even tried lxqt,95
96,[10:33] <|subz3r0|> bazhang: Because it looks as shitty as lxde does,10:33,|subz3r0|, bazhang: Because it looks as shitty as lxde does,96
97,"[10:33] <bazhang> |subz3r0|, no cursing here",10:33,bazhang," |subz3r0|, no cursing here",97
98,[10:33] <|subz3r0|> I dont need or want a super light weight DE on that machine,10:33,|subz3r0|, I dont need or want a super light weight DE on that machine,98
99,"[10:38] <ledeni> |subz3r0|, why not install 'sudo apt-get install xinit' and with startx load mate",10:38,ledeni," |subz3r0|, why not install 'sudo apt-get install xinit' and with startx load mate",99
100,[10:40] <|subz3r0|> ledeni: already done. the greeter looks horrible and it wont accept my credentials. connecting via ssh works fine instead,10:40,|subz3r0|, ledeni: already done. the greeter looks horrible and it wont accept my credentials. connecting via ssh works fine instead,100
101,=== rax-Y is now known as rax-,,,,101
102,"[10:45] <ledeni> |subz3r0|, try 'dpkg-reconfigure lightdm'",10:45,ledeni," |subz3r0|, try 'dpkg-reconfigure lightdm'",102
103,[11:30] <tsousa> When is ubuntu comming with Gnome?,11:30,tsousa, When is ubuntu comming with Gnome?,103
104,[11:31] <brainwash> !17.10,11:31,brainwash, !17.10,104
105,[11:31] <ubottu> Ubuntu 17.10 (Artful Aardvark) will be the 27th release of Ubuntu.  It is due to be released in October 2017. Discussion in #ubuntu+1,11:31,ubottu, Ubuntu 17.10 (Artful Aardvark) will be the 27th release of Ubuntu.  It is due to be released in October 2017. Discussion in #ubuntu+1,105
106,=== def_jam is now known as eb0t,,,,106
107,"[11:48] <kriech0r> morning, i'm look into saving some power with a hp gen 8 microserver and ubuntu 16.04. according to my UPS its using ~60Watts when idle... would like to lower that if possible",11:48,kriech0r," morning, i'm look into saving some power with a hp gen 8 microserver and ubuntu 16.04. according to my UPS its using ~60Watts when idle... would like to lower that if possible",107
108,[11:49] <ddellav> try removing the CPU,11:49,ddellav, try removing the CPU,108
109,[11:49] <kriech0r> hehe ;),11:49,kriech0r, hehe ;),109
110,[11:49] <ddellav> :P,11:49,ddellav, :P,110
111,[11:50] <kriech0r> its a E3-1265L,11:50,kriech0r, its a E3-1265L,111
112,[11:52] <kriech0r> shutting down cores or lowering the frequ would be good... additionally it looks like the two md raid1 i have are not going to sleep,11:52,kriech0r, shutting down cores or lowering the frequ would be good... additionally it looks like the two md raid1 i have are not going to sleep,112
113,[13:09] <helllp> am I now in?,13:09,helllp, am I now in?,113
114,[13:13] <ddellav> thats what he said,13:13,ddellav, thats what he said,114
