,raw,timestamp,user,message
0,"[00:16] <starscream[2]> Jack_Sparrow> I have done it before on another machine and didnt have a problem, however i do have a strange order of partitions",00:16,starscream[2]> Jack_Sparrow,"I have done it before on another machine and didnt have a problem, however i do have a strange order of partitions"
1,"[00:16] <NickGarvey> eternaljoy, si, oui",00:16,NickGarvey,"eternaljoy, si, oui"
2,[00:16] <eternaljoy> sparkleytone: how do I symlink the java plugin?,00:16,eternaljoy,sparkleytone: how do I symlink the java plugin?
3,[00:16] <Jack_Sparrow> starscream[2] : NOt using sata raid correct?,00:16,Jack_Sparrow,starscream[2] : NOt using sata raid correct?
4,[00:17] <EvilGuru> sparkleytone: The motherboard has support for ATA-66 if that is what you mean?,00:17,EvilGuru,sparkleytone: The motherboard has support for ATA-66 if that is what you mean?
5,"[00:17] <starscream[2]> Jack_Sparrow> I got to install grub and it got an error so I installed LILO instead, but I think I installed it to the wrong partition, should I just try from scratch agaon?",00:17,starscream[2]> Jack_Sparrow,"I got to install grub and it got an error so I installed LILO instead, but I think I installed it to the wrong partition, should I just try from scratch agaon?"
6,[00:17] <eternaljoy> NickGarvey: what web browser does Dapper come with when I install Dapper from CD?,00:17,eternaljoy,NickGarvey: what web browser does Dapper come with when I install Dapper from CD?
7,"[00:17] <qwerty2k> eternaljoy, easier to use Automatix, it will auto install all firefox plugins for you",00:17,qwerty2k,"eternaljoy, easier to use Automatix, it will auto install all firefox plugins for you"
8,[00:17] <sparkleytone> eleazar123: dammit...i'm bad at syntax today.  you need to 'mount -o bind /proc /mnt/sdc/proc'  ... i'm sorry,00:17,sparkleytone,eleazar123: dammit...i'm bad at syntax today.  you need to 'mount -o bind /proc /mnt/sdc/proc'  ... i'm sorry
9,"[00:17] <Renan_s2> eternaljoy, Firefox",00:17,Renan_s2,"eternaljoy, Firefox"
10,[00:17] <starscream[2]> Jack_Sparrow> no not raid however this is a 64bit machine,00:17,starscream[2]> Jack_Sparrow,no not raid however this is a 64bit machine
11,[00:17] <sparkleytone> EvilGuru: no i mean ATA6,00:17,sparkleytone,EvilGuru: no i mean ATA6
12,"[00:17] <eleazar123> sparkleytone, np :) i'm learning from this as well",00:17,eleazar123,"sparkleytone, np :) i'm learning from this as well"
13,"[00:17] <Jack_Sparrow> starscream[2] : the plot thickens, how are the partitions setup.. If xp isnt #1 on drive 1 then it is a prob",00:17,Jack_Sparrow,"starscream[2] : the plot thickens, how are the partitions setup.. If xp isnt #1 on drive 1 then it is a prob"
14,=== InterNut [n=InterNut@c-68c471d5.319-1-64736c10.cust.bredbandsbolaget.se]  has joined #ubuntu,,,
15,"[00:17] <NickGarvey> eternaljoy, firefox for the 4th time",00:17,NickGarvey,"eternaljoy, firefox for the 4th time"
16,[00:17] <sparkleytone> !java,00:17,sparkleytone,!java
17,"[00:17] <ubotu> java is an object oriented programming language. To install a java compiler/interpreter on Ubuntu, look at https://help.ubuntu.com/community/Java For the Sun Java runtime install sun-java5-jre from the Multiverse repository",00:17,ubotu,"java is an object oriented programming language. To install a java compiler/interpreter on Ubuntu, look at https://help.ubuntu.com/community/Java For the Sun Java runtime install sun-java5-jre from the Multiverse repository"
18,[00:17] <eternaljoy> qwerty2k: E: Couldn't find package automatix,00:17,eternaljoy,qwerty2k: E: Couldn't find package automatix
19,[00:18] <sparkleytone> eternaljoy: listen to ubotu,00:18,sparkleytone,eternaljoy: listen to ubotu
20,"[00:18] <NickGarvey> qwerty2k, in general, suggest easyubuntu instead",00:18,NickGarvey,"qwerty2k, in general, suggest easyubuntu instead"
21,"[00:18] <qwerty2k> eternaljoy, look on ubuntu forums",00:18,qwerty2k,"eternaljoy, look on ubuntu forums"
22,[00:18] <Qwell> !dapper,00:18,Qwell,!dapper
23,"[00:18] <ubotu> dapper is the 4th and latest release of Ubuntu. Version 6.06 LTS, codename ""Dapper Drake""",00:18,ubotu,"dapper is the 4th and latest release of Ubuntu. Version 6.06 LTS, codename ""Dapper Drake"""
24,=== nu [n=nu@c-69-138-173-241.hsd1.md.comcast.net]  has joined #ubuntu,,,
25,[00:18] <eternaljoy> i have 3 Java installed,00:18,eternaljoy,i have 3 Java installed
26,"[00:18] <starscream[2]> Jack_Sparrow> it is not, hda1 = fat32 os share, hda2 ntfs, hda3 swap, hda 4 ext3",00:18,starscream[2]> Jack_Sparrow,"it is not, hda1 = fat32 os share, hda2 ntfs, hda3 swap, hda 4 ext3"
27,[00:18] <nu> !nvidia,00:18,nu,!nvidia
28,"[00:18] <ubotu> To install the Ati/NVidia drivers for your video card, see https://wiki.ubuntu.com/BinaryDriverHowto",00:18,ubotu,"To install the Ati/NVidia drivers for your video card, see https://wiki.ubuntu.com/BinaryDriverHowto"
29,[00:18] <Jack_Sparrow> starscream[2] : that cd searches all partitions for linux and xp and recreates a grub menu for you,00:18,Jack_Sparrow,starscream[2] : that cd searches all partitions for linux and xp and recreates a grub menu for you
30,[00:18] <sparkleytone> eternaljoy: that's the second time you've received the java info from ubotu...if you keep asking the same question no one will answer,00:18,sparkleytone,eternaljoy: that's the second time you've received the java info from ubotu...if you keep asking the same question no one will answer
31,"[00:18] <eleazar123> sparkleytone, i typed 'sudo grub-install /dev/sdc' and it gave back 'unable to lookup ubuntu via gethostbyname()'",00:18,eleazar123,"sparkleytone, i typed 'sudo grub-install /dev/sdc' and it gave back 'unable to lookup ubuntu via gethostbyname()'"
32,"[00:18] <qwerty2k> NickGarvey, i find Automatix installs more programs and it more useful to me",00:18,qwerty2k,"NickGarvey, i find Automatix installs more programs and it more useful to me"
33,[00:18] <eternaljoy> qwerty2k: where forums?,00:18,eternaljoy,qwerty2k: where forums?
34,"[00:18] <qwerty2k> eternaljoy, www.ubuntuforums.org",00:18,qwerty2k,"eternaljoy, www.ubuntuforums.org"
35,=== emil [n=emil@cc29315-a.groni1.gr.home.nl]  has joined #ubuntu,,,
36,[00:18] <sparkleytone> eleazar123: that's a useless error.  doesn't matter.,00:18,sparkleytone,eleazar123: that's a useless error.  doesn't matter.
37,[00:18] <Qwell> What exactly is included with the netboot image?  Is it the entire installer?,00:18,Qwell,What exactly is included with the netboot image?  Is it the entire installer?
38,[00:18] <nu> hey qwerty,00:18,nu,hey qwerty
39,[00:19] <qwerty2k> nu hey,00:19,qwerty2k,nu hey
40,"[00:19] <emil> Hi guys, i've got an tv-card, works perfect on windows, but how do i install it on Ubuntu",00:19,emil,"Hi guys, i've got an tv-card, works perfect on windows, but how do i install it on Ubuntu"
