,raw,timestamp,user,message,file_ind
0,=== ubuntu is now known as Shinzetsu,,,,0
1,"[08:07] <stopher> it does, cuz i can't get non-iso-burned disks to run, i have to go to BURN ISO and locate the .iso file and burn it",08:07,stopher," it does, cuz i can't get non-iso-burned disks to run, i have to go to BURN ISO and locate the .iso file and burn it",1
2,[08:07] <godtvisken> How can I make my own keymap?,08:07,godtvisken, How can I make my own keymap?,2
3,"[08:08] <davidjohnston> thanks man and thanks to you all...i'll give it another run tomorrow, i've only been at it about 1.5 hours tonight anyway just thought I would see if I could get any good ideas and you all have been very helpful",08:08,davidjohnston," thanks man and thanks to you all...i'll give it another run tomorrow, i've only been at it about 1.5 hours tonight anyway just thought I would see if I could get any good ideas and you all have been very helpful",3
4,"[08:08] <sethk> stopher, a cd neither runs nor doesn't run.",08:08,sethk," stopher, a cd neither runs nor doesn't run.",4
5,"[08:08] <Shinzetsu> gdb: also when I try and remove/install anything it gives me an error that it cant delete 'scim-gtk2-something'  and tells me to dpkg --configure -a, but it wont go away",08:08,Shinzetsu," gdb: also when I try and remove/install anything it gives me an error that it cant delete 'scim-gtk2-something'  and tells me to dpkg --configure -a, but it wont go away",5
6,[08:08] <stopher> sethk i think you are the one confuzed,08:08,stopher, sethk i think you are the one confuzed,6
7,[08:08] <stopher> google and download.com search for ISO BURNER you will find with some drives (most) you need to BURN IT AS BOOTABLE ISO  not just copy it,08:08,stopher, google and download.com search for ISO BURNER you will find with some drives (most) you need to BURN IT AS BOOTABLE ISO  not just copy it,7
8,"=== elbixio [n=elbixio@190.57.12.210]  has left #ubuntu [""Leaving""]",,,,8
9,[08:08] <davidjohnston> thanks again guys,08:08,davidjohnston, thanks again guys,9
10,[08:08] <davidjohnston> night all,08:08,davidjohnston, night all,10
11,=== nGen [n=edgar@200-183-99-61-mns.cpe.vivax.com.br]  has joined #ubuntu,,,,11
12,"[08:09] <gdb> Shinzetsu: Er, what, exactly, did you do?",08:09,gdb," Shinzetsu: Er, what, exactly, did you do?",12
13,[08:09] <Pntkl> Hello,08:09,Pntkl, Hello,13
14,"[08:09] <Shinzetsu> gdb: remove xubuntu-desktop, and it removed kubuntu with it aswell",08:09,Shinzetsu," gdb: remove xubuntu-desktop, and it removed kubuntu with it aswell",14
15,"[08:09] <gdb> Shinzetsu: The commands on the ""Pure GNOME"" page simply remove the KDE packages in one step, and the XFCE packages in another.",08:09,gdb," Shinzetsu: The commands on the ""Pure GNOME"" page simply remove the KDE packages in one step, and the XFCE packages in another.",15
16,[08:09] <Shinzetsu> gdb: I know,08:09,Shinzetsu, gdb: I know,16
17,[08:09] <Shinzetsu> gdb: well anyway I cant install anything because of that ^ in recovery mode,08:09,Shinzetsu, gdb: well anyway I cant install anything because of that ^ in recovery mode,17
18,"[08:10] <gdb> Shinzetsu: xubuntu-desktop is a package which depends on others, but on which nothing depends.",08:10,gdb," Shinzetsu: xubuntu-desktop is a package which depends on others, but on which nothing depends.",18
19,[08:10] <gdb> hrm,08:10,gdb, hrm,19
20,[08:10] <gdb> Shinzetsu: What was the command you used?,08:10,gdb, Shinzetsu: What was the command you used?,20
21,[08:10] <Pntkl> I'll think about it,08:10,Pntkl, I'll think about it,21
