,raw,timestamp,user,message
0,=== Versed [i=Versed@69.253.173.154]  has joined #ubuntu,,,
1,[04:35] <atripathi> drk   do u have any idea?,04:35,atripathi,drk   do u have any idea?
2,"[04:35] <CarlFK> b0ef, look around for Captive NTFS - don'tthink it is on the livecd",04:35,CarlFK,"b0ef, look around for Captive NTFS - don'tthink it is on the livecd"
3,[04:35] <ksmurf> drklogic I don't follow?,04:35,ksmurf,drklogic I don't follow?
4,[04:35] <ksmurf> .../mount ......... ?,04:35,ksmurf,.../mount ......... ?
5,[04:36] <b0ef> CarlFK: I'm sure I've seen ntfs read/write mode listed as stable somewhere?,04:36,b0ef,CarlFK: I'm sure I've seen ntfs read/write mode listed as stable somewhere?
6,"[04:36] <drklogic_> ksmurf, what is it you're trying to do? browse files over nfs?",04:36,drklogic_,"ksmurf, what is it you're trying to do? browse files over nfs?"
7,"[04:36] <durt> seabook, i have breezy on a satellite 5105-s501 - i dont knoe how similar they are",04:36,durt,"seabook, i have breezy on a satellite 5105-s501 - i dont knoe how similar they are"
8,[04:36] <ksmurf> drk .... yes,04:36,ksmurf,drk .... yes
9,"[04:36] <drklogic_> ksmurf, apt-get install nfs-common",04:36,drklogic_,"ksmurf, apt-get install nfs-common"
10,[04:36] <TokenBad> ubuntu 5.10 is going to be released when again?,04:36,TokenBad,ubuntu 5.10 is going to be released when again?
11,=== sambagirl [n=anita@c-24-99-26-225.hsd1.ga.comcast.net]  has joined #ubuntu,,,
12,"[04:36] <tristanmike> TokenBad, Oct 13",04:36,tristanmike,"TokenBad, Oct 13"
13,[04:36] <ksmurf> I have it,04:36,ksmurf,I have it
14,=== Versed [i=Versed@69.253.173.154]  has joined #ubuntu,,,
15,[04:37] <atripathi> what is the command to see the disk structure ?,04:37,atripathi,what is the command to see the disk structure ?
16,"[04:37] <drklogic_> ksmurf, then ""mount host:/directory""",04:37,drklogic_,"ksmurf, then ""mount host:/directory"""
17,"[04:37] <sambagirl> carl your ready, no?",04:37,sambagirl,"carl your ready, no?"
18,[04:37] <sambagirl> who asked me to wait?,04:37,sambagirl,who asked me to wait?
19,=== BigIslandVegan [n=greeting@portcullis.uhh.hawaii.edu]  has joined #ubuntu,,,
20,[04:37] <tritium> his ready?,04:37,tritium,his ready?
21,"[04:37] <CarlFK> sambagirl - no, the feed box was off, and then I had unplugged the network cable, but I want this all up, so imalmost there...",04:37,CarlFK,"sambagirl - no, the feed box was off, and then I had unplugged the network cable, but I want this all up, so imalmost there..."
22,[04:38] <sambagirl> haha ok you keep cranking up Model T while i turn key on ferrari :D,04:38,sambagirl,haha ok you keep cranking up Model T while i turn key on ferrari :D
23,"[04:38] <_jason> hi guys, how can I get sound working in flash for firefox",04:38,_jason,"hi guys, how can I get sound working in flash for firefox"
24,"[04:38] <Seabook> durt: probably not very similar, simply by the fact that the numbering series is not even the same.",04:38,Seabook,"durt: probably not very similar, simply by the fact that the numbering series is not even the same."
25,[04:38] <atripathi> Does anybody know if Ubuntu duals with Windows2003 ???,04:38,atripathi,Does anybody know if Ubuntu duals with Windows2003 ???
26,"[04:38] <tritium> yes, atripathi",04:38,tritium,"yes, atripathi"
27,=== scanwinder [n=scanwind@CPE-60-224-192-21.wa.bigpond.net.au]  has joined #ubuntu,,,
28,"[04:39] <sambagirl> hehe 2003, is 2005 :)",04:39,sambagirl,"hehe 2003, is 2005 :)"
