,raw,timestamp,user,message,file_ind
0,[00:18] <Matisse> whats the diff between quantal-updates and quantal-backports?,00:18,Matisse, whats the diff between quantal-updates and quantal-backports?,0
1,[00:18] <Matisse> is updates for security issues?,00:18,Matisse, is updates for security issues?,1
2,"[00:18] <deezed> downbeam: hey, thats for mint, but I think it will help you: http://www.youtube.com/watch?v=m9zctyRP434",00:18,deezed," downbeam: hey, thats for mint, but I think it will help you: http://www.youtube.com/watch?v=m9zctyRP434",2
3,[00:18] <jrib> !backports | Matisse,00:18,jrib, !backports | Matisse,3
4,"[00:18] <ubottu> Matisse: If new updated Ubuntu packages are built for an application, then they may go into Ubuntu Backports. See https://help.ubuntu.com/community/UbuntuBackports - See also !packaging",00:18,ubottu," Matisse: If new updated Ubuntu packages are built for an application, then they may go into Ubuntu Backports. See https://help.ubuntu.com/community/UbuntuBackports - See also !packaging",4
5,=== markalanevans_ is now known as markalanevans,,,,5
6,[00:18] <jrib> !repos | Matisse,00:18,jrib, !repos | Matisse,6
7,[00:18] <ubottu> Matisse: The packages in Ubuntu are divided into several sections. More information at https://help.ubuntu.com/community/Repositories - See https://wiki.ubuntu.com/RecommendedSources for the recommended way to set up your repositories.,00:18,ubottu, Matisse: The packages in Ubuntu are divided into several sections. More information at https://help.ubuntu.com/community/Repositories - See https://wiki.ubuntu.com/RecommendedSources for the recommended way to set up your repositories.,7
8,[00:19] <Matisse> is it possible to add quantal repos with low-prio so that I have to manually choose for updates and nothing is done without my decision?,00:19,Matisse, is it possible to add quantal repos with low-prio so that I have to manually choose for updates and nothing is done without my decision?,8
9,[00:20] <Matisse> I'd like to update libreoffice cause is has annoying bugs...,00:20,Matisse, I'd like to update libreoffice cause is has annoying bugs...,9
10,=== bazhang_ is now known as bazhang,,,,10
11,[00:21] <BoTB22323> How trusted is the program Ssh?,00:21,BoTB22323, How trusted is the program Ssh?,11
12,[00:21] <chrispingu2> BoTB22323: lol..,00:21,chrispingu2, BoTB22323: lol..,12
13,[00:21] <Matisse> great,00:21,Matisse, great,13
14,[00:21] <deezed> BoTB22323: good question,00:21,deezed, BoTB22323: good question,14
15,"[00:22] <wilee-nilee> Matisse, That is a bit of a over response to a single apps problems, you can mess up the whole system messing with the repos, try the PPA.",00:22,wilee-nilee," Matisse, That is a bit of a over response to a single apps problems, you can mess up the whole system messing with the repos, try the PPA.",15
16,=== Gnarly_ is now known as Gnarly,,,,16
17,[00:23] <lacy20> #join ubuntu-cn,00:23,lacy20, #join ubuntu-cn,17
18,"[00:23] <BoTB22323> Well i was connected to several people, using Ssh.",00:23,BoTB22323," Well i was connected to several people, using Ssh.",18
19,[00:23] <BoTB22323> But it was seemed that i was traced back.,00:23,BoTB22323, But it was seemed that i was traced back.,19
20,[00:23] <BoTB22323> Im wondering how.,00:23,BoTB22323, Im wondering how.,20
21,[00:23] <BoTB22323> If i have dynamic ip.,00:23,BoTB22323, If i have dynamic ip.,21
22,[00:23] <lacy20> join #ubuntu-cn,00:23,lacy20, join #ubuntu-cn,22
